station,day,max_temp_f
IIB,01.01.22,14.7
IIB,02.01.22,8.6
IIB,03.01.22,24.4
IIB,04.01.22,33.8
IIB,05.01.22,21.6
IIB,06.01.22,1.4
IIB,07.01.22,8.6
IIB,08.01.22,30.9
IIB,09.01.22,24.6
IIB,10.01.22,14
IIB,11.01.22,39.4
IIB,12.01.22,41.9
IIB,13.01.22,43
IIB,14.01.22,34.9
IIB,15.01.22,18.5
IIB,16.01.22,28.9
IIB,17.01.22,29.1
IIB,18.01.22,38.3
IIB,19.01.22,21
IIB,20.01.22,4.3
IIB,21.01.22,15.6
IIB,22.01.22,24.4
IIB,23.01.22,19.4
IIB,24.01.22,26.1
IIB,25.01.22,4.1
IIB,26.01.22,17.6
IIB,27.01.22,35.2
IIB,28.01.22,14.9
IIB,29.01.22,29.8
